coin,horizon,seed,sharpe_har,sharpe_lstm,sharpe_bh,delta_sharpe_lstm_vs_har,lw_se,t_stat,mse_har,mse_lstm,mse_reduction_pct,loss_fn,n_obs,lstm_preds,har_preds,dm_stat,dm_pvalue,mean_loss_diff,dm_verdict
LTC-USD,5,42,-1.4839396885447849,-1.5734476966929802,-0.8319949211849158,-0.08950800814819537,0.0042441929027434355,-21.08952401535228,0.33728979324075603,0.36364488017552493,7.813781342608476,mse,575,575,575,0.9597452592472168,0.33758752679310655,0.026355086934768894,INCONCLUSIVE
LTC-USD,10,0,-1.9905199301578798,-2.0162611854309134,-1.0133371770671358,-0.025741255273033614,0.005518743284606192,-4.664332792002748,0.3036547305864972,0.32943454269477207,8.489843730898626,mse,550,550,550,0.8440313332765405,0.3990195187026231,0.02577981210827485,INCONCLUSIVE
LTC-USD,10,1,-1.9905199301578798,-2.0661670664504754,-1.0133371770671358,-0.07564713629259567,0.005812744377033892,-13.014013929715698,0.3036547305864972,0.32880219345851414,8.281597597193883,mse,550,550,550,0.8801814128591524,0.37914616581501503,0.02514746287201696,INCONCLUSIVE
LTC-USD,10,7,-1.9905199301578798,-1.9973470066190127,-1.0133371770671358,-0.006827076461132897,0.0050660217523726655,-1.3476208344220875,0.3036547305864972,0.3850047998573958,26.790318436262815,mse,550,550,550,2.71887640235519,0.006757633495357629,0.08135006927089852,BEATEN BY baseline
LTC-USD,10,42,-1.9905199301578798,-2.02452900595095,-1.0133371770671358,-0.03400907579307044,0.0049031257046693415,-6.9362031164493585,0.3036547305864972,0.3492014372667863,14.99950506034186,mse,550,550,550,1.562208464637199,0.1188151135965283,0.0455467066802891,INCONCLUSIVE
XRP-USD,1,0,-0.7205941854263551,-0.6751281287474452,-0.7179528678124474,0.045466056678909905,0.004911656721006661,9.256765947110303,0.7759861392424332,0.8956478541856151,15.420599530296153,mse,595,595,595,2.7238760087299783,0.006641883007679761,0.11966171494318191,BEATEN BY baseline
XRP-USD,1,1,-0.7205941854263551,-0.6636256596213597,-0.7179528678124474,0.05696852580499545,0.004694241354097773,12.135832290614024,0.7759861392424332,0.8692193602037567,12.014804936122138,mse,595,595,595,2.2713786088963976,0.02348099192044617,0.09323322096132335,BEATEN BY baseline
XRP-USD,1,7,-0.7205941854263551,-0.7277952950977586,-0.7179528678124474,-0.007201109671403527,0.006287672849227543,-1.1452742284911026,0.7759861392424332,0.8655899958539269,11.547094990507265,mse,595,595,595,2.071166056793595,0.03877451891708383,0.0896038566114938,BEATEN BY baseline
XRP-USD,1,42,-0.7205941854263551,-0.6523362340536336,-0.7179528678124474,0.0682579513727215,0.004329553091270176,15.765588256753869,0.7759861392424332,0.8958613238545491,15.448108999620228,mse,595,595,595,2.264494645008991,0.0239033009592593,0.11987518461211578,BEATEN BY baseline
XRP-USD,5,0,-0.9646956510080786,-0.9440015771683036,-0.6804321826024334,0.020694073839775062,0.006643166336782189,3.115091929159618,0.3736332292536349,0.4463335988538282,19.45768307209148,mse,575,575,575,2.2820308225296637,0.022852629204663577,0.07270036960019324,BEATEN BY baseline
XRP-USD,5,1,-0.9646956510080786,-1.056436829150653,-0.6804321826024334,-0.09174117814257432,0.00660359946352445,-13.892601852870486,0.3736332292536349,0.42004549777593725,12.42187923569189,mse,575,575,575,1.7588332095569832,0.07913864718068808,0.04641226852230245,INCONCLUSIVE
XRP-USD,5,7,-0.9646956510080786,-0.9476515494814932,-0.6804321826024334,0.01704410152658542,0.006634734101729764,2.56892005998278,0.3736332292536349,0.44683051850507977,19.590679714880515,mse,575,575,575,2.212131046201542,0.027350591964242055,0.07319728925144489,BEATEN BY baseline
