coin,horizon,strategy,n_states,n_periods,n_refits,regime_persistence_days,sharpe_active_ann,sharpe_buy_hold_ann,sharpe_kelly_har_mu60_ann,sharpe_diff_ann_vs_buy_hold,sharpe_diff_ann_vs_kelly_har_mu60,se_daily_LW_vs_buy_hold,se_daily_LW_vs_kelly_har_mu60,t_stat_vs_buy_hold,t_stat_vs_kelly_har_mu60,p_value_one_sided_vs_buy_hold,p_value_one_sided_vs_kelly_har_mu60,BEATS_buy_hold_p005,BEATS_kelly_har_mu60_p005,BEATS_buy_hold_delta_sharpe,BEATS_kelly_har_mu60_delta_sharpe
SOL-USD,20,kelly_hmm_har_mu60_regime,2,500,12,33.333,0.185,-0.506,-0.2678,0.691,0.4528,0.03448504991829183,0.023424585411662233,1.262278153870466,1.217634638132148,0.10342435740635292,0.11168142270403636,False,False,True,True
LTC-USD,1,kelly_hmm_har_mu60_regime,2,595,16,12.66,0.2407,0.0683,0.1711,0.1724,0.0696,0.023684633971276813,0.016521455753453113,0.4585645225174234,0.2653312138370593,0.32327345913365313,0.39537716039338267,False,False,True,True
LTC-USD,5,kelly_hmm_har_mu60_regime,2,575,15,13.372,-0.0559,-0.0619,-0.2365,0.006,0.1806,0.024420763716968143,0.014404086577327956,0.01541933361524304,0.7896556345118944,0.49384881963274885,0.2148644538650255,False,False,True,True
LTC-USD,10,kelly_hmm_har_mu60_regime,2,550,14,11.702,-0.2326,-0.148,-0.3323,-0.0845,0.0997,0.027620334796718684,0.014606104922851184,-0.1928112742196342,0.42999435901863964,0.5764466131909322,0.3335998722995862,False,False,False,True
LTC-USD,15,kelly_hmm_har_mu60_regime,2,525,13,13.462,0.2099,-0.1043,0.3531,0.3143,-0.1432,0.027242566897699973,0.015122764053992807,0.7267224245945552,-0.5964255532095525,0.2336980067118113,0.7245545130142641,False,False,True,False
LTC-USD,20,kelly_hmm_har_mu60_regime,2,500,12,14.286,0.7549,-0.1702,0.5006,0.9251,0.2543,0.02914782142996332,0.02210407187190819,1.9993160203058196,0.7247676728789997,0.022787085940080387,0.234297285503399,True,False,True,True
XRP-USD,1,kelly_hmm_har_mu60_regime,2,595,16,7.933,0.7947,0.6545,1.0025,0.1402,-0.2078,0.021394966939245686,0.01971960671424219,0.4127586318260457,-0.6638291190028971,0.3398917314731431,0.7466001568245364,False,False,True,False
XRP-USD,5,kelly_hmm_har_mu60_regime,2,575,15,9.426,0.805,0.5789,1.0577,0.2261,-0.2527,0.021929909354720434,0.011042020666768126,0.6494080969186734,-1.4417220360259577,0.25803731590905243,0.9253095977210495,False,False,True,False
XRP-USD,10,kelly_hmm_har_mu60_regime,2,550,14,8.73,0.8557,0.5183,1.0646,0.3373,-0.209,0.02816578194207335,0.010777688240312706,0.7544019080280556,-1.2214054362913902,0.22530396311528333,0.8890337250470605,False,False,True,False
XRP-USD,15,kelly_hmm_har_mu60_regime,2,525,13,10.714,0.7287,0.5808,1.0793,0.1479,-0.3506,0.028874385481793014,0.01139753499363692,0.32262938605076164,-1.9378547715584982,0.37348796800726447,0.9736795283620954,False,False,True,False
XRP-USD,20,kelly_hmm_har_mu60_regime,2,500,12,14.286,1.1139,0.593,1.3266,0.5209,-0.2127,0.03004047032463798,0.01072664939538599,1.092363960716182,-1.2490382850680652,0.13733657858224868,0.8941744643831168,False,False,True,False
ADA-USD,1,kelly_hmm_har_mu60_regime,2,595,16,10.439,0.1746,-0.031,0.2713,0.2056,-0.0967,0.035280272825984824,0.02037179932964842,0.3671904259985043,-0.2989968579297624,0.35673849012781245,0.6175287785163517,False,False,True,False
ADA-USD,5,kelly_hmm_har_mu60_regime,2,575,15,12.234,-0.2438,-0.1624,-0.1644,-0.0813,-0.0793,0.03908877474055203,0.02105708711070381,-0.13102957163258908,-0.23730740394690186,0.5521240428550982,0.5937908406890213,False,False,False,False
ADA-USD,10,kelly_hmm_har_mu60_regime,2,550,14,12.222,-0.2244,-0.2377,-0.0115,0.0133,-0.213,0.04116237500608423,0.018990188093936978,0.020303917989115534,-0.7064615341287375,0.49190046516446695,0.7600494171375719,False,False,True,False
ADA-USD,15,kelly_hmm_har_mu60_regime,2,525,13,13.462,0.1141,-0.2216,0.1494,0.3357,-0.0353,0.03843712799086505,0.02239517709540503,0.5501598121869613,-0.0993275910525015,0.29110488258969347,0.5395609138785035,False,False,True,False
ADA-USD,20,kelly_hmm_har_mu60_regime,2,500,12,13.514,0.2036,-0.2157,0.3724,0.4193,-0.1688,0.03980840958694601,0.022901165152426278,0.663559466252259,-0.46439542657291427,0.2534861536902472,0.6788177669278759,False,False,True,False
DOT-USD,1,kelly_hmm_har_mu60_regime,2,595,16,13.222,-0.3579,-0.5569,0.1667,0.199,-0.5246,0.03207199129402998,0.016418989098106195,0.3908439092551542,-2.0127665928643945,0.3479563082270761,0.9779304050249765,False,False,True,False
DOT-USD,5,kelly_hmm_har_mu60_regime,2,575,15,13.372,-0.8187,-0.657,-0.2089,-0.1618,-0.6099,0.03040604448198753,0.01955313394507687,-0.3351676573639169,-1.9647891605390206,0.6312506909636019,0.9752806773575302,False,False,False,False
DOT-USD,10,kelly_hmm_har_mu60_regime,2,550,14,14.103,-0.8243,-0.7973,-0.4153,-0.027,-0.409,0.03264347301725252,0.017306192611224562,-0.05219469102419772,-1.488809428840148,0.5208132184407892,0.9317312206354907,False,False,False,False
DOT-USD,15,kelly_hmm_har_mu60_regime,2,525,13,15.909,-0.333,-0.807,-0.2515,0.474,-0.0815,0.03630579828150233,0.014492680647277103,0.8224505052451048,-0.35413715960260034,0.20541027249344235,0.6383819525353935,False,False,True,False
DOT-USD,20,kelly_hmm_har_mu60_regime,2,500,12,15.152,-0.2894,-0.8482,0.0125,0.5588,-0.3018,0.037679960572262,0.016576738432596095,0.9342493839300126,-1.1470176306222697,0.17508763357404744,0.874312832818148,False,False,True,False
