BEATS_delta_sharpe,BEATS_p005,BEATS_p010,coin,delta_sharpe_ann,fee_bps,horizon,n_periods,p_value_one_sided,sharpe_active_ann,sharpe_baseline_ann,t_stat,threshold,turnover_ratio_vs_raw,turnover_total
True,False,False,BTC-USD,0.1857,50.0,20,1795,0.2699446597077766,0.6477,0.462,0.6129803700596668,0.0,1.0,74.6117
True,False,False,BTC-USD,0.0438,100.0,20,1795,0.4431519582639265,0.5058,0.462,0.1429826084178358,0.0,1.0,74.6117
True,False,False,BTC-USD,0.2988,10.0,20,1795,0.16075902661377428,0.7608,0.462,0.9913431427933674,0.025,0.9995,74.5773
True,False,False,BTC-USD,0.1859,50.0,20,1795,0.2697782701752618,0.6478,0.462,0.613483725687017,0.025,0.9995,74.5773
True,False,False,BTC-USD,0.044,100.0,20,1795,0.4428716372466416,0.506,0.462,0.14369252453591708,0.025,0.9995,74.5773
True,False,False,BTC-USD,0.2981,10.0,20,1795,0.1612876704859757,0.7601,0.462,0.9891794703540938,0.05,0.9984,74.496
True,False,False,BTC-USD,0.1854,50.0,20,1795,0.2703384445818,0.6473,0.462,0.6117897243545249,0.05,0.9984,74.496
True,False,False,BTC-USD,0.0437,100.0,20,1795,0.4433154196142459,0.5057,0.462,0.14256867399804773,0.05,0.9984,74.496
True,False,False,BTC-USD,0.2981,10.0,20,1795,0.16128607409242246,0.7601,0.462,0.9891859972197034,0.1,0.9967,74.3662
True,False,False,BTC-USD,0.1856,50.0,20,1795,0.27011872913915214,0.6475,0.462,0.6124539476507102,0.1,0.9967,74.3662
True,False,False,BTC-USD,0.0441,100.0,20,1795,0.44274103951906063,0.5061,0.462,0.1440232894531538,0.1,0.9967,74.3662
True,False,False,BTC-USD,0.3022,10.0,20,1795,0.15805833522654877,0.7642,0.462,1.0024699549833465,0.2,0.9923,74.0397
True,False,False,BTC-USD,0.1901,50.0,20,1795,0.2652166791102042,0.6521,0.462,0.6273446240931493,0.2,0.9923,74.0397
True,False,False,BTC-USD,0.0492,100.0,20,1795,0.4361389649449321,0.5112,0.462,0.16076571437658263,0.2,0.9923,74.0397
False,False,False,ETH-USD,-0.0758,10.0,1,1240,0.597679473797772,0.6362,0.712,-0.24734523657859772,0.0,1.0,57.4096
False,False,False,ETH-USD,-0.1608,50.0,1,1240,0.7000562568193801,0.5513,0.712,-0.524562320017454,0.0,1.0,57.4096
False,False,False,ETH-USD,-0.2672,100.0,1,1240,0.8076150259092398,0.4449,0.712,-0.8691411195015866,0.0,1.0,57.4096
False,False,False,ETH-USD,-0.076,10.0,1,1240,0.5979370136260145,0.636,0.712,-0.2480109006488719,0.025,0.9994,57.3744
False,False,False,ETH-USD,-0.1609,50.0,1,1240,0.7002764192312877,0.5511,0.712,-0.5251956889219576,0.025,0.9994,57.3744
False,False,False,ETH-USD,-0.2673,100.0,1,1240,0.8077745389038835,0.4447,0.712,-0.8697246056297521,0.025,0.9994,57.3744
False,False,False,ETH-USD,-0.0744,10.0,1,1240,0.5958661348895695,0.6377,0.712,-0.2426613766121933,0.05,0.9931,57.0153
False,False,False,ETH-USD,-0.1588,50.0,1,1240,0.6978099142645149,0.5533,0.712,-0.5181119379834659,0.05,0.9931,57.0153
False,False,False,ETH-USD,-0.2645,100.0,1,1240,0.8052503437762437,0.4476,0.712,-0.8605257191305951,0.05,0.9931,57.0153
False,False,False,ETH-USD,-0.0736,10.0,1,1240,0.5949039401327885,0.6384,0.712,-0.24017819130955909,0.1,0.9857,56.5896
False,False,False,ETH-USD,-0.1574,50.0,1,1240,0.6962640053172583,0.5546,0.712,-0.5136853596826344,0.1,0.9857,56.5896
False,False,False,ETH-USD,-0.2623,100.0,1,1240,0.8033893127316211,0.4497,0.712,-0.8537899670045292,0.1,0.9857,56.5896
False,False,False,ETH-USD,-0.0277,10.0,1,1240,0.5359112047765117,0.6843,0.712,-0.09013795221859423,0.2,0.9371,53.799
False,False,False,ETH-USD,-0.108,50.0,1,1240,0.637101590055295,0.6041,0.712,-0.35072213221816506,0.2,0.9371,53.799
False,False,False,ETH-USD,-0.2085,100.0,1,1240,0.7502024608405149,0.5036,0.712,-0.6751270041214126,0.2,0.9371,53.799
False,False,False,ETH-USD,-0.1661,10.0,5,1220,0.705101718386309,0.5273,0.6934,-0.5391308600632813,0.0,1.0,56.9162
False,False,False,ETH-USD,-0.2506,50.0,5,1220,0.7914867291963875,0.4428,0.6934,-0.8115906788160206,0.0,1.0,56.9162
False,False,False,ETH-USD,-0.3564,100.0,5,1220,0.8744033150410113,0.337,0.6934,-1.1474556082628344,0.0,1.0,56.9162
False,False,False,ETH-USD,-0.1655,10.0,5,1220,0.7043383286885346,0.528,0.6934,-0.5369193235170038,0.025,0.9987,56.8427
False,False,False,ETH-USD,-0.2498,50.0,5,1220,0.7907584703945439,0.4436,0.6934,-0.8090557851283674,0.025,0.9987,56.8427
False,False,False,ETH-USD,-0.3555,100.0,5,1220,0.873800900624154,0.3379,0.6934,-1.144543764742241,0.025,0.9987,56.8427
False,False,False,ETH-USD,-0.1661,10.0,5,1220,0.7050549335672849,0.5273,0.6934,-0.5389952488870665,0.05,0.995,56.6314
False,False,False,ETH-USD,-0.2502,50.0,5,1220,0.7910323743480162,0.4432,0.6934,-0.8100085681790471,0.05,0.995,56.6314
False,False,False,ETH-USD,-0.3555,100.0,5,1220,0.8737241577666014,0.338,0.6934,-1.1441735152059187,0.05,0.995,56.6314
False,False,False,ETH-USD,-0.1652,10.0,5,1220,0.7043047299791898,0.5282,0.6934,-0.5368220485913936,0.1,0.9928,56.5038
False,False,False,ETH-USD,-0.249,50.0,5,1220,0.7902893568873368,0.4444,0.6934,-0.807425663573364,0.1,0.9928,56.5038
False,False,False,ETH-USD,-0.354,100.0,5,1220,0.873076786296078,0.3395,0.6934,-1.1410564625005677,0.1,0.9928,56.5038
False,False,False,ETH-USD,-0.1745,10.0,5,1220,0.7130182115984589,0.5189,0.6934,-0.5622237574031115,0.2,0.9681,55.1028
False,False,False,ETH-USD,-0.2561,50.0,5,1220,0.7948523166356392,0.4373,0.6934,-0.8233739596068005,0.2,0.9681,55.1028
False,False,False,ETH-USD,-0.3584,100.0,5,1220,0.8739887911139412,0.3351,0.6934,-1.1454509142446028,0.2,0.9681,55.1028
True,False,False,ETH-USD,0.0319,10.0,10,1195,0.45897299858397256,0.6661,0.6342,0.1030213866551355,0.0,1.0,56.611
False,False,False,ETH-USD,-0.0541,50.0,10,1195,0.5693203655009429,0.5801,0.6342,-0.17464413217099267,0.0,1.0,56.611
False,False,False,ETH-USD,-0.1619,100.0,10,1195,0.6987095743336288,0.4723,0.6342,-0.5206927132269953,0.0,1.0,56.611
True,False,False,ETH-USD,0.032,10.0,10,1195,0.45883870776804014,0.6662,0.6342,0.10335980079242356,0.025,0.999,56.5558
False,False,False,ETH-USD,-0.0539,50.0,10,1195,0.5690812886260135,0.5803,0.6342,-0.17403567842152642,0.025,0.999,56.5558
False,False,False,ETH-USD,-0.1616,100.0,10,1195,0.6983846849485543,0.4726,0.6342,-0.5197603325826645,0.025,0.999,56.5558
True,False,False,ETH-USD,0.0332,10.0,10,1195,0.4573002683109516,0.6674,0.6342,0.10723753734526587,0.05,0.9968,56.4314
False,False,False,ETH-USD,-0.0525,50.0,10,1195,0.5673279650627566,0.5816,0.6342,-0.16957540051428258,0.05,0.9968,56.4314
False,False,False,ETH-USD,-0.1599,100.0,10,1195,0.6965890743333885,0.4742,0.6342,-0.5146153287875374,0.05,0.9968,56.4314
True,False,False,ETH-USD,0.0361,10.0,10,1195,0.45361121122112436,0.6703,0.6342,0.11654273090019276,0.1,0.9891,55.9916
False,False,False,ETH-USD,-0.049,50.0,10,1195,0.5628056125088661,0.5852,0.6342,-0.15808632651869034,0.1,0.9891,55.9916
False,False,False,ETH-USD,-0.1556,100.0,10,1195,0.6916499982073734,0.4786,0.6342,-0.5005327474946837,0.1,0.9891,55.9916
True,False,False,ETH-USD,0.0499,10.0,10,1195,0.43597339313124406,0.6841,0.6342,0.16118615370571238,0.2,0.9531,53.9586
False,False,False,ETH-USD,-0.0321,50.0,10,1195,0.5412742349323405,0.6021,0.6342,-0.10364442663769255,0.2,0.9531,53.9586
False,False,False,ETH-USD,-0.1348,100.0,10,1195,0.6679472880124334,0.4993,0.6342,-0.4342520439619408,0.2,0.9531,53.9586
True,False,False,ETH-USD,0.1035,10.0,15,1170,0.37036212694918014,0.7616,0.6581,0.3308943975955613,0.0,1.0,52.8391
True,False,False,ETH-USD,0.0209,50.0,15,1170,0.473300266155651,0.679,0.6581,0.06697634820270515,0.0,1.0,52.8391
False,False,False,ETH-USD,-0.0825,100.0,15,1170,0.603984263719611,0.5756,0.6581,-0.2636735577030131,0.0,1.0,52.8391
True,False,False,ETH-USD,0.104,10.0,15,1170,0.36977353699856164,0.7621,0.6581,0.3324531984782935,0.025,0.9987,52.768
True,False,False,ETH-USD,0.0215,50.0,15,1170,0.47253325250027867,0.6796,0.6581,0.06890340897581412,0.025,0.9987,52.768
False,False,False,ETH-USD,-0.0818,100.0,15,1170,0.6030678931495008,0.5763,0.6581,-0.26129604836089576,0.025,0.9987,52.768
True,False,False,ETH-USD,0.1058,10.0,15,1170,0.3675521616687982,0.7639,0.6581,0.3383435305187875,0.05,0.9946,52.5554
True,False,False,ETH-USD,0.0237,50.0,15,1170,0.4697722548977713,0.6818,0.6581,0.07584236622495023,0.05,0.9946,52.5554
False,False,False,ETH-USD,-0.0792,100.0,15,1170,0.5999134290830468,0.5789,0.6581,-0.25312303135242376,0.05,0.9946,52.5554
True,False,False,ETH-USD,0.1052,10.0,15,1170,0.36832137999127545,0.7633,0.6581,0.3363025065017278,0.1,0.9946,52.5554
True,False,False,ETH-USD,0.0231,50.0,15,1170,0.47056209262591475,0.6812,0.6581,0.07385698257227752,0.1,0.9946,52.5554
False,False,False,ETH-USD,-0.0798,100.0,15,1170,0.6006535441441063,0.5783,0.6581,-0.2550390849472427,0.1,0.9946,52.5554
True,False,False,ETH-USD,0.0785,10.0,15,1170,0.4008727576091876,0.7366,0.6581,0.2510887219763182,0.2,0.9042,47.7751
False,False,False,ETH-USD,-0.0059,50.0,15,1170,0.5075417904815653,0.6522,0.6581,-0.018905591412507073,0.2,0.9042,47.7751
False,False,False,ETH-USD,-0.1117,100.0,15,1170,0.6391210268185641,0.5464,0.6581,-0.3561103234458235,0.2,0.9042,47.7751
False,False,False,ETH-USD,-0.0032,10.0,20,1145,0.5039516076868178,0.6164,0.6195,-0.00990537353561571,0.0,1.0,67.787
False,False,False,ETH-USD,-0.1111,50.0,20,1145,0.6353320360344544,0.5085,0.6195,-0.34600903071375977,0.0,1.0,67.787
False,False,False,ETH-USD,-0.2458,100.0,20,1145,0.7762011109340534,0.3737,0.6195,-0.7594259784205168,0.0,1.0,67.787
False,False,False,ETH-USD,-0.003,10.0,20,1145,0.5037042389680778,0.6166,0.6195,-0.009285283555742279,0.025,0.999,67.7179
False,False,False,ETH-USD,-0.1107,50.0,20,1145,0.6349723940571272,0.5088,0.6195,-0.3450520882389343,0.025,0.999,67.7179
False,False,False,ETH-USD,-0.2454,100.0,20,1145,0.7757952364352048,0.3741,0.6195,-0.7580692499662074,0.025,0.999,67.7179
False,False,False,ETH-USD,-0.003,10.0,20,1145,0.5037372920734177,0.6165,0.6195,-0.009368139007792847,0.05,0.9978,67.6368
False,False,False,ETH-USD,-0.1106,50.0,20,1145,0.6348537392638206,0.5089,0.6195,-0.34473643857374825,0.05,0.9978,67.6368
False,False,False,ETH-USD,-0.2451,100.0,20,1145,0.775560456413028,0.3744,0.6195,-0.7572850807081237,0.05,0.9978,67.6368
False,False,False,ETH-USD,-0.0017,10.0,20,1145,0.5021635816487989,0.6178,0.6195,-0.0054233215207332855,0.1,0.9937,67.3577
False,False,False,ETH-USD,-0.1089,50.0,20,1145,0.6328709941444388,0.5106,0.6195,-0.33946692191341493,0.1,0.9937,67.3577
False,False,False,ETH-USD,-0.2428,100.0,20,1145,0.7735455965236978,0.3767,0.6195,-0.750574442597428,0.1,0.9937,67.3577
False,False,False,ETH-USD,-0.0316,10.0,20,1145,0.5391363530610425,0.5879,0.6195,-0.0982581687676985,0.2,0.9165,62.1253
False,False,False,ETH-USD,-0.141,50.0,20,1145,0.6686539026860829,0.4786,0.6195,-0.43619921887323637,0.2,0.9165,62.1253
False,False,False,ETH-USD,-0.2776,100.0,20,1145,0.8023695845621448,0.3419,0.6195,-0.8501155791724169,0.2,0.9165,62.1253
False,False,False,SOL-USD,-0.4362,10.0,1,595,0.7837602522849096,-0.6006,-0.1645,-0.7849557805370397,0.0,1.0,44.6221
False,False,False,SOL-USD,-0.6368,50.0,1,595,0.8707988642060005,-0.8013,-0.1645,-1.1301755227778676,0.0,1.0,44.6221
False,False,False,SOL-USD,-0.8849,100.0,1,595,0.9379714293701513,-1.0494,-0.1645,-1.5379651287480232,0.0,1.0,44.6221
False,False,False,SOL-USD,-0.4345,10.0,1,595,0.7828693571027683,-0.5989,-0.1645,-0.7819205182264981,0.025,0.9982,44.5418
False,False,False,SOL-USD,-0.6346,50.0,1,595,0.8700236994300548,-0.7991,-0.1645,-1.1265031662569298,0.025,0.9982,44.5418
False,False,False,SOL-USD,-0.8822,100.0,1,595,0.9374355408123959,-1.0467,-0.1645,-1.533596628087406,0.025,0.9982,44.5418
False,False,False,SOL-USD,-0.4364,10.0,1,595,0.7837501264297522,-0.6009,-0.1645,-0.7849212413396397,0.05,0.9942,44.3622
False,False,False,SOL-USD,-0.6359,50.0,1,595,0.8703268357568099,-0.8004,-0.1645,-1.127937468774739,0.05,0.9942,44.3622
False,False,False,SOL-USD,-0.8826,100.0,1,595,0.9373834507128939,-1.0471,-0.1645,-1.533173553563295,0.05,0.9942,44.3622
False,False,False,SOL-USD,-0.4277,10.0,1,595,0.7787179630976069,-0.5922,-0.1645,-0.7678705861617587,0.1,0.9879,44.0843
False,False,False,SOL-USD,-0.6258,50.0,1,595,0.8661002013320938,-0.7903,-0.1645,-1.1081440782540464,0.1,0.9879,44.0843
False,False,False,SOL-USD,-0.8707,100.0,1,595,0.9345068355409687,-1.0352,-0.1645,-1.5102237952158069,0.1,0.9879,44.0843
False,False,False,SOL-USD,-0.3848,10.0,1,595,0.7660971857988572,-0.5493,-0.1645,-0.7260540632622269,0.2,0.9225,41.1636
False,False,False,SOL-USD,-0.5676,50.0,1,595,0.8545428202581287,-0.7321,-0.1645,-1.0561178866868972,0.2,0.9225,41.1636
False,False,False,SOL-USD,-0.7937,100.0,1,595,0.9259340951952076,-0.9581,-0.1645,-1.446161855958001,0.2,0.9225,41.1636
False,False,False,SOL-USD,-0.2193,10.0,5,575,0.6523589964602367,-0.5181,-0.2988,-0.39169713512090476,0.0,1.0,40.6605
False,False,False,SOL-USD,-0.4096,50.0,5,575,0.7654877858415688,-0.7084,-0.2988,-0.724067284491384,0.0,1.0,40.6605
False,False,False,SOL-USD,-0.6466,100.0,5,575,0.8693866650412032,-0.9454,-0.2988,-1.1234965384289133,0.0,1.0,40.6605
False,False,False,SOL-USD,-0.2161,10.0,5,575,0.6503566857707841,-0.5149,-0.2988,-0.3862836223908927,0.025,0.9966,40.5218
False,False,False,SOL-USD,-0.4062,50.0,5,575,0.7637406324078215,-0.7049,-0.2988,-0.7183869432565706,0.025,0.9966,40.5218
False,False,False,SOL-USD,-0.6428,100.0,5,575,0.8681032941973734,-0.9416,-0.2988,-1.117470019067659,0.025,0.9966,40.5218
False,False,False,SOL-USD,-0.2132,10.0,5,575,0.6484642607529784,-0.512,-0.2988,-0.38117758759756576,0.05,0.9931,40.3808
False,False,False,SOL-USD,-0.4025,50.0,5,575,0.7617782785933582,-0.7013,-0.2988,-0.7120344510863249,0.05,0.9931,40.3808
False,False,False,SOL-USD,-0.6382,100.0,5,575,0.8664292284213775,-0.937,-0.2988,-1.109669331344982,0.05,0.9931,40.3808
False,False,False,SOL-USD,-0.2046,10.0,5,575,0.6428667023283895,-0.5034,-0.2988,-0.36613197985660484,0.1,0.9777,39.7541
False,False,False,SOL-USD,-0.3908,50.0,5,575,0.7555395622039716,-0.6896,-0.2988,-0.692026200132346,0.1,0.9777,39.7541
False,False,False,SOL-USD,-0.6226,100.0,5,575,0.8608472166537713,-0.9213,-0.2988,-1.0841336007930378,0.1,0.9777,39.7541
False,False,False,SOL-USD,-0.195,10.0,5,575,0.6366332141184683,-0.4937,-0.2988,-0.34947388682894265,0.2,0.9414,38.2789
False,False,False,SOL-USD,-0.3743,50.0,5,575,0.7468335653031355,-0.6731,-0.2988,-0.6645585795803362,0.2,0.9414,38.2789
False,False,False,SOL-USD,-0.5976,100.0,5,575,0.8519020321736801,-0.8964,-0.2988,-1.0446258322742623,0.2,0.9414,38.2789
True,False,False,SOL-USD,0.0297,10.0,10,550,0.478528887769856,-0.4052,-0.4349,0.053846105952597936,0.0,1.0,33.5443
False,False,False,SOL-USD,-0.1295,50.0,10,550,0.5919624089405802,-0.5644,-0.4349,-0.23259593761714628,0.0,1.0,33.5443
False,False,False,SOL-USD,-0.3291,100.0,10,550,0.7198851011484366,-0.764,-0.4349,-0.5825002135729217,0.0,1.0,33.5443
True,False,False,SOL-USD,0.0289,10.0,10,550,0.47911939321606256,-0.406,-0.4349,0.05236383954458061,0.025,0.9993,33.5224
False,False,False,SOL-USD,-0.1302,50.0,10,550,0.5924492238846001,-0.5651,-0.4349,-0.23384984406156212,0.025,0.9993,33.5224
False,False,False,SOL-USD,-0.3297,100.0,10,550,0.720207629623291,-0.7646,-0.4349,-0.5834584192283747,0.025,0.9993,33.5224
True,False,False,SOL-USD,0.0346,10.0,10,550,0.47495411980418534,-0.4002,-0.4349,0.06282200928536398,0.05,0.9945,33.3592
False,False,False,SOL-USD,-0.1236,50.0,10,550,0.58783128221204,-0.5584,-0.4349,-0.22196974531280736,0.05,0.9945,33.3592
False,False,False,SOL-USD,-0.3219,100.0,10,550,0.7156396922368025,-0.7568,-0.4349,-0.5699367242952593,0.05,0.9945,33.3592
True,False,False,SOL-USD,0.0207,10.0,10,550,0.484970191970466,-0.4141,-0.4349,0.03768305827448012,0.1,0.9872,33.1154
False,False,False,SOL-USD,-0.1397,50.0,10,550,0.5992766661493584,-0.5746,-0.4349,-0.25147528547582193,0.1,0.9872,33.1154
False,False,False,SOL-USD,-0.341,100.0,10,550,0.7274254136026264,-0.7758,-0.4349,-0.6050448860766976,0.1,0.9872,33.1154
True,False,False,SOL-USD,0.0482,10.0,10,550,0.4651391827040636,-0.3867,-0.4349,0.08749461527338805,0.2,0.9328,31.2894
False,False,False,SOL-USD,-0.1036,50.0,10,550,0.5738802198078523,-0.5385,-0.4349,-0.18626167503634408,0.2,0.9328,31.2894
False,False,False,SOL-USD,-0.294,100.0,10,550,0.6989830761262268,-0.7289,-0.4349,-0.5214779707312293,0.2,0.9328,31.2894
True,False,False,SOL-USD,0.0536,10.0,15,525,0.46422904474980375,-0.4048,-0.4583,0.08978497333414738,0.0,1.0,25.7631
False,False,False,SOL-USD,-0.0737,50.0,15,525,0.5486765676994972,-0.5321,-0.4583,-0.12231839460020402,0.0,1.0,25.7631
False,False,False,SOL-USD,-0.2323,100.0,15,525,0.6479850295712991,-0.6907,-0.4583,-0.3798861336470623,0.0,1.0,25.7631
