family,instance_id,heuristic,solved,valid,nodes,seconds,inference_seconds
latin,latin-08,activity,True,True,16,0.009897199997794814,0.0
latin,latin-09,mrv,True,True,25,0.016046600008849055,0.0
latin,latin-09,max_degree,True,True,25,0.011023900005966425,0.0
latin,latin-09,dom_wdeg,True,True,25,0.0232901999988826,0.0
latin,latin-09,activity,True,True,25,0.03410170000279322,0.0
latin,latin-10,mrv,True,True,36,0.034466500001144595,0.0
latin,latin-10,max_degree,True,True,125,0.15929969999706373,0.0
latin,latin-10,dom_wdeg,True,True,36,0.04096230000141077,0.0
latin,latin-10,activity,True,True,36,0.02349599999433849,0.0
latin,latin-11,mrv,True,True,49,0.06572490000689868,0.0
latin,latin-11,max_degree,True,True,1261,2.2882907000021078,0.0
latin,latin-11,dom_wdeg,True,True,49,0.07352429999446031,0.0
latin,latin-11,activity,True,True,49,0.041371500003151596,0.0
