family,instance_id,node_id,candidate,domain_size,domain_ratio,degree,degree_ratio,weighted_degree,activity,dom_wdeg,progress,neighbor_domain_min,neighbor_domain_mean,neighbor_domain_max,label
queens,queens-9,queens-9:2,q2,7.0,0.7777777777777778,7.0,0.875,7.0,1.0,1.0,0.1111111111111111,7.0,7.0,7.0,0
queens,queens-9,queens-9:2,q3,7.0,0.7777777777777778,7.0,0.875,7.0,1.0,1.0,0.1111111111111111,7.0,7.0,7.0,0
queens,queens-9,queens-9:2,q4,7.0,0.7777777777777778,7.0,0.875,7.0,1.0,1.0,0.1111111111111111,7.0,7.0,7.0,0
queens,queens-9,queens-9:2,q5,7.0,0.7777777777777778,7.0,0.875,7.0,1.0,1.0,0.1111111111111111,7.0,7.0,7.0,0
queens,queens-9,queens-9:2,q6,7.0,0.7777777777777778,7.0,0.875,7.0,1.0,1.0,0.1111111111111111,7.0,7.0,7.0,0
queens,queens-9,queens-9:2,q7,7.0,0.7777777777777778,7.0,0.875,7.0,1.0,1.0,0.1111111111111111,7.0,7.0,7.0,0
queens,queens-9,queens-9:2,q8,7.0,0.7777777777777778,7.0,0.875,7.0,1.0,1.0,0.1111111111111111,7.0,7.0,7.0,0
queens,queens-9,queens-9:3,q2,5.0,0.5555555555555556,6.0,0.75,6.0,2.0,0.8333333333333334,0.2222222222222222,5.0,5.166666666666667,6.0,1
queens,queens-9,queens-9:3,q3,5.0,0.5555555555555556,6.0,0.75,6.0,2.0,0.8333333333333334,0.2222222222222222,5.0,5.166666666666667,6.0,0
queens,queens-9,queens-9:3,q4,5.0,0.5555555555555556,6.0,0.75,6.0,2.0,0.8333333333333334,0.2222222222222222,5.0,5.166666666666667,6.0,0
queens,queens-9,queens-9:3,q5,5.0,0.5555555555555556,6.0,0.75,6.0,2.0,0.8333333333333334,0.2222222222222222,5.0,5.166666666666667,6.0,0
queens,queens-9,queens-9:3,q6,5.0,0.5555555555555556,6.0,0.75,6.0,2.0,0.8333333333333334,0.2222222222222222,5.0,5.166666666666667,6.0,0
queens,queens-9,queens-9:3,q7,5.0,0.5555555555555556,6.0,0.75,6.0,2.0,0.8333333333333334,0.2222222222222222,5.0,5.166666666666667,6.0,0
queens,queens-9,queens-9:3,q8,6.0,0.6666666666666666,6.0,0.75,6.0,2.0,1.0,0.2222222222222222,5.0,5.0,5.0,0
queens,queens-9,queens-9:4,q3,4.0,0.4444444444444444,5.0,0.625,5.0,3.0,0.8,0.3333333333333333,2.0,3.2,4.0,0
queens,queens-9,queens-9:4,q4,3.0,0.3333333333333333,5.0,0.625,5.0,3.0,0.6,0.3333333333333333,2.0,3.4,4.0,0
queens,queens-9,queens-9:4,q5,2.0,0.2222222222222222,5.0,0.625,5.0,3.0,0.4,0.3333333333333333,3.0,3.6,4.0,1
queens,queens-9,queens-9:4,q6,3.0,0.3333333333333333,5.0,0.625,5.0,3.0,0.6,0.3333333333333333,2.0,3.4,4.0,0
queens,queens-9,queens-9:4,q7,4.0,0.4444444444444444,5.0,0.625,5.0,3.0,0.8,0.3333333333333333,2.0,3.2,4.0,0
