family,instance_id,heuristic,solved,valid,nodes,seconds,inference_seconds,split,model_seed
latin,latin-10,learned_policy,True,True,36,0.1597602999972878,0.13805450004292652,grouped_instance_split,71
latin,latin-10,mrv,True,True,36,0.034466500001144595,0.0,grouped_instance_split,71
latin,latin-11,learned_policy,True,True,49,0.236651899991557,0.1937544999673264,grouped_instance_split,71
latin,latin-11,mrv,True,True,49,0.06572490000689868,0.0,grouped_instance_split,71
queens,queens-16,learned_policy,True,True,17,0.07437370000116061,0.055671400026767515,grouped_instance_split,101
queens,queens-16,mrv,True,True,16,0.01656409999122843,0.0,grouped_instance_split,101
queens,queens-17,learned_policy,True,True,20,0.10787490000075195,0.08157040001242422,grouped_instance_split,101
queens,queens-17,mrv,True,True,22,0.05113599999458529,0.0,grouped_instance_split,101
queens,queens-18,learned_policy,True,True,24,0.17986930000188295,0.14479449998179916,grouped_instance_split,101
queens,queens-18,mrv,True,True,18,0.03602700000919867,0.0,grouped_instance_split,101
queens,queens-19,learned_policy,True,True,20,0.1308098000008613,0.0973599999997532,grouped_instance_split,101
queens,queens-19,mrv,True,True,22,0.03753580000193324,0.0,grouped_instance_split,101
coloring,coloring-08,learned_policy,True,True,25,0.12502859999949578,0.11423719998856541,grouped_instance_split,101
coloring,coloring-08,mrv,True,True,27,0.008589099990786053,0.0,grouped_instance_split,101
coloring,coloring-09,learned_policy,True,True,25,0.11033209999732208,0.09953749996202532,grouped_instance_split,101
coloring,coloring-09,mrv,True,True,25,0.01087790000019595,0.0,grouped_instance_split,101
coloring,coloring-10,learned_policy,True,True,26,0.10567089999676682,0.0963499000063166,grouped_instance_split,101
coloring,coloring-10,mrv,True,True,26,0.008948699993197806,0.0,grouped_instance_split,101
coloring,coloring-11,learned_policy,True,True,27,0.10465019999537617,0.09353649998956826,grouped_instance_split,101
coloring,coloring-11,mrv,True,True,27,0.033777399992686696,0.0,grouped_instance_split,101
latin,latin-08,learned_policy,True,True,16,0.05816259999119211,0.053331599963712506,grouped_instance_split,101
latin,latin-08,mrv,True,True,16,0.0043769000039901584,0.0,grouped_instance_split,101
latin,latin-09,learned_policy,True,True,25,0.1028191999939736,0.09208679999574088,grouped_instance_split,101
latin,latin-09,mrv,True,True,25,0.016046600008849055,0.0,grouped_instance_split,101
latin,latin-10,learned_policy,True,True,36,0.1515326999942772,0.1300096000341,grouped_instance_split,101
latin,latin-10,mrv,True,True,36,0.034466500001144595,0.0,grouped_instance_split,101
latin,latin-11,learned_policy,True,True,49,0.39865989999088924,0.3534186000470072,grouped_instance_split,101
latin,latin-11,mrv,True,True,49,0.06572490000689868,0.0,grouped_instance_split,101
queens,queens-8,learned_policy,True,True,10,0.040882800007238984,0.03551209998840932,leave_queens_out,11
queens,queens-8,dom_wdeg,True,True,10,0.004827400000067428,0.0,leave_queens_out,11
queens,queens-9,learned_policy,True,True,10,0.09486369999649469,0.089725300000282,leave_queens_out,11
queens,queens-9,dom_wdeg,True,True,10,0.004786100005730987,0.0,leave_queens_out,11
queens,queens-10,learned_policy,True,True,12,0.06277150000096299,0.05481900001177564,leave_queens_out,11
queens,queens-10,dom_wdeg,True,True,13,0.008157900010701269,0.0,leave_queens_out,11
queens,queens-11,learned_policy,True,True,15,0.07035490000271238,0.059225799966952763,leave_queens_out,11
queens,queens-11,dom_wdeg,True,True,15,0.010847600002307445,0.0,leave_queens_out,11
queens,queens-12,learned_policy,True,True,22,0.11881010000070091,0.09873580001294613,leave_queens_out,11
queens,queens-12,dom_wdeg,True,True,12,0.008249299993622117,0.0,leave_queens_out,11
queens,queens-13,learned_policy,True,True,17,0.06644879998930264,0.052041499977349304,leave_queens_out,11
queens,queens-13,dom_wdeg,True,True,22,0.01971340000454802,0.0,leave_queens_out,11
queens,queens-14,learned_policy,True,True,102,0.38734699999622535,0.2913644000364002,leave_queens_out,11
queens,queens-14,dom_wdeg,True,True,20,0.02672349999193102,0.0,leave_queens_out,11
queens,queens-15,learned_policy,True,True,57,0.22690930000680964,0.16433800000231713,leave_queens_out,11
queens,queens-15,dom_wdeg,True,True,15,0.029233499997644685,0.0,leave_queens_out,11
queens,queens-16,learned_policy,True,True,464,2.2660135999904014,1.7126256999617908,leave_queens_out,11
queens,queens-16,dom_wdeg,True,True,16,0.062498500003130175,0.0,leave_queens_out,11
queens,queens-17,learned_policy,True,True,289,1.4300687999930233,1.0433297998533817,leave_queens_out,11
queens,queens-17,dom_wdeg,True,True,22,0.03733819999615662,0.0,leave_queens_out,11
queens,queens-18,learned_policy,True,True,1869,7.401322899997467,5.140844599780394,leave_queens_out,11
queens,queens-18,dom_wdeg,True,True,18,0.03778210000018589,0.0,leave_queens_out,11
queens,queens-19,learned_policy,True,True,756,2.8506760000018403,1.8923190997884376,leave_queens_out,11
queens,queens-19,dom_wdeg,True,True,21,0.038576500010094605,0.0,leave_queens_out,11
queens,queens-8,learned_policy,True,True,11,0.030284199994639494,0.02557249998790212,leave_queens_out,23
queens,queens-8,dom_wdeg,True,True,10,0.004827400000067428,0.0,leave_queens_out,23
queens,queens-9,learned_policy,True,True,10,0.029850799997802824,0.025474799986113794,leave_queens_out,23
queens,queens-9,dom_wdeg,True,True,10,0.004786100005730987,0.0,leave_queens_out,23
